TransactionID,mean_D15,sum_D15,cnt_D15
3122931,0.0,0,1
3123443,0.0,0,13
3124293,0.0,0,1
3124324,0.0,0,13
3124351,0.0,0,13
3124421,0.0,0,16
3125032,0.0,0,0
3125116,0.047619047619047616,1,21
3125121,0.047619047619047616,1,21
3125210,0.0,0,5
3125447,0.0,0,10
3125763,0.0,0,1
3126644,0.0,0,2
3126718,0.0,0,1
3126777,0.0,0,2
3127242,0.0,0,2
3127444,0.0,0,3
3127501,0.0,0,13
3127742,0.0,0,1
3129278,0.0,0,1
3129892,0.0,0,0
3130106,0.0,0,1
3130639,0.0,0,36
3128101,0.047619047619047616,1,21
3128117,0.047619047619047616,1,21
3128135,0.0,0,2
3128501,0.047619047619047616,1,21
3128909,0.0,0,1
3129163,0.02564102564102564,1,39
3130869,0.25,1,4
3131126,0.0,0,9
3131129,0.0,0,9
3127613,0.0,0,0
3128460,0.0,0,0
3128468,0.0,0,0
3128631,0.0,0,11
3128669,0.0,0,11
3128837,0.0,0,11
3128936,0.0,0,0
3128988,0.0,0,0
3129595,0.0,0,0
3129632,0.0,0,7
3129768,0.0,0,1
3130662,0.0,0,1
3131071,0.0,0,13
3131081,0.0,0,9
3131247,0.0,0,2
3131318,0.0,0,13
3131327,0.0,0,14
3131638,0.0,0,1
3131922,0.0,0,1
3132925,0.0,0,3
3133132,0.0,0,1
3134329,0.0,0,1
3134665,0.0,0,1
3135511,0.0,0,6
3132607,0.0,0,2
3133020,0.0,0,4
3133032,0.0,0,4
3133045,0.0,0,5
3135327,0.0,0,9
3131376,0.0,0,1
3131381,0.0,0,12
3131383,0.0,0,1
3131448,0.0,0,12
3131457,0.0,0,12
3131504,0.0,0,1
3131847,0.0,0,2
3131857,0.0,0,6
3132632,0.0,0,1
3133145,0.0,0,5
3133238,0.02564102564102564,1,39
3133617,0.0,0,1
3134075,0.0,0,11
3134092,0.0,0,11
3134095,0.0,0,11
3134100,0.0,0,11
3134194,0.0,0,1
3134829,0.0,0,11
3134889,0.0,0,12
3131670,0.0,0,0
3132144,0.0,0,0
3132513,0.0,0,0
3132997,0.0,0,0
3133017,0.0,0,0
3133036,0.0,0,0
3133063,0.0,0,0
3133092,0.0,0,0
3133986,0.0,0,3
3134396,0.0,0,1
3135219,0.0,0,2
3135258,0.0,0,2
3135269,0.0,0,2
3135281,0.0,0,1
3135720,0.0,0,5
3136088,0.0,0,1
3136198,0.0,0,1
3138373,0.0,0,1
3136016,0.0,0,2
3139110,0.0,0,1
3139112,0.0,0,1
3136751,0.0,0,3
3136081,0.0,0,12
3136166,0.0,0,1
3136824,0.0,0,3
3137257,0.0,0,17
3138718,0.0,0,1
3135968,0.0,0,0
3137147,0.0,0,3
3137492,0.0,0,1
3138616,0.0,0,13
3138627,0.0,0,2
3138778,0.0,0,0
3138785,0.0,0,0
3139200,0.0,0,4
3139522,0.0,0,1
3139891,0.0,0,2
3140154,0.0,0,9
3140216,0.0,0,0
3141997,0.0,0,1
3142040,0.0,0,1
3142405,0.0,0,1
3142453,0.0,0,1
3142489,0.0,0,1
3139328,0.0,0,2
3139391,0.0,0,5
3139585,0.0,0,1
3139698,0.0,0,1
3140069,0.0,0,5
3140711,0.0,0,6
3140973,0.0,0,1
3141833,0.0,0,10
3141866,0.0,0,2
3142483,0.0,0,1
3139209,0.0,0,2
3139985,0.0,0,4
3141201,0.0,0,2
3141317,0.0,0,15
3141706,0.0,0,4
3141736,0.0,0,4
3142237,0.0,0,0
3139633,0.0,0,1
3140398,0.0,0,1
3140778,0.0,0,0
3140913,0.0,0,12
3141039,0.0,0,0
3141528,0.0,0,1
3141590,0.0,0,1
3142231,0.0,0,1
3142269,0.0,0,1
3139146,0.0,0,5
3139386,0.0,0,11
3139736,0.0,0,1
3139876,0.0,0,1
3140505,0.0,0,1
3140641,0.0,0,0
3140668,0.0,0,0
3140940,0.0,0,3
3141199,0.0,0,8
3141682,0.0,0,5
3141698,0.0,0,5
3141788,0.0,0,1
3140097,0.0,0,1
3140347,0.0,0,1
3141499,0.0,0,0
3142304,0.0,0,4
3142921,0.0,0,1
3144356,0.0,0,4
3144374,0.0,0,7
3144965,0.0,0,1
3145281,0.0,0,3
3144206,0.0,0,2
3144385,0.0,0,3
3145287,0.0,0,0
3145298,0.0,0,0
3145316,0.0,0,0
3143832,0.0,0,6
3145248,0.0,0,5
3142812,0.0,0,6
3143906,0.0,0,6
3144255,0.0,0,1
3144387,0.0,0,0
3144402,0.0,0,0
3145033,0.0,0,4
3144027,0.0,0,1
3145011,0.0,0,36
3145182,0.0,0,1
3145221,0.0,0,1
3145258,0.0,0,1
3145283,0.0,0,1
3142892,0.0,0,8
3143241,0.0,0,3
3143472,0.0,0,3
3143486,0.0,0,1
3143940,0.0,0,3
3145284,0.0,0,1
3145289,0.0,0,1
3145404,0.14285714285714285,1,7
3145410,0.14285714285714285,1,7
3145424,0.14285714285714285,1,7
3143322,0.0,0,0
3144105,0.0,0,2
3146134,0.0,0,4
3147672,0.0,0,1
3147683,0.0,0,1
3147692,0.0,0,0
3148207,0.0,0,6
3145574,0.0,0,1
3145581,0.0,0,1
3145733,0.0,0,13
3146320,0.0,0,4
3146739,0.0,0,10
3146148,0.0,0,7
3146152,0.0,0,7
3147492,0.0,0,25
3147691,0.0,0,4
3145599,0.0,0,5
3145647,0.0,0,0
3147581,0.04,1,25
3147718,0.0,0,43
3148140,0.0,0,6
3148173,0.0,0,0
3148205,0.0,0,0
3146339,0.0,0,36
3148064,0.0,0,0
3145617,0.0,0,3
3146036,0.0,0,3
3146234,0.0,0,11
3146254,0.0,0,11
3147045,0.0,0,16
3145674,0.0,0,0
3145701,0.0,0,12
3146089,0.0,0,10
3146696,0.0,0,1
3146939,0.0,0,0
3146966,0.0,0,1
3147137,0.0,0,1
3147784,0.0,0,0
3148197,0.0,0,0
3148436,0.0,0,8
