TransactionID,TransactionAmt_mean,TransactionAmt_sum,TransactionAmtcnt
2988273,378.79,1893.95,5
2988313,200.0,200.0,1
2988328,200.0,200.0,1
2988430,171.0,171.0,1
2988721,42.98333333333333,128.95,3
2988921,77.0,77.0,1
2988939,117.0,117.0,1
2989686,134.5,269.0,2
2989744,0.0,0.0,0
2990014,0.0,0.0,0
2990242,24.5,49.0,2
2990304,24.5,49.0,2
2990384,0.0,0.0,0
2990464,0.0,0.0,0
2990522,0.0,0.0,0
2990548,0.0,0.0,0
2990923,24.5,49.0,2
2991132,24.5,49.0,2
2991133,0.0,0.0,0
2991693,187.50437499999995,3000.0699999999997,16
2992118,0.0,0.0,0
2992842,0.0,0.0,0
2992881,1066.6174999999998,4266.469999999999,4
2992888,1066.6174999999998,4266.469999999999,4
2992932,0.0,0.0,0
2992992,1066.6174999999998,4266.469999999999,4
2993149,552.0,552.0,1
2993539,240.1285714285714,3361.7999999999997,14
2993550,240.1285714285714,3361.7999999999997,14
2993559,109.45333333333335,1641.8000000000002,15
2993650,196.64285714285714,1376.5,7
2993664,53.8,269.0,5
2993677,196.64285714285714,1376.5,7
2993683,196.64285714285714,1376.5,7
2993703,92.0,92.0,1
2993720,524.0,524.0,1
2993737,0.0,0.0,0
2993783,226.0,226.0,1
2993942,87.987,879.8700000000001,10
2994005,87.987,879.8700000000001,10
2994059,53.97142857142857,377.79999999999995,7
2994088,87.987,879.8700000000001,10
2994116,44.25,88.5,2
2994148,113.0,113.0,1
2994154,162.11193548387098,5025.469999999999,31
2994189,196.64285714285714,1376.5,7
2994220,87.987,879.8700000000001,10
2994285,87.987,879.8700000000001,10
2994314,133.95,267.9,2
2994371,87.987,879.8700000000001,10
2994381,58.95,58.95,1
2994415,77.12666666666668,1156.9,15
2994416,87.987,879.8700000000001,10
2994518,162.11193548387098,5025.469999999999,31
2994653,59.0,59.0,1
2994673,81.495,162.99,2
2994737,101.48823529411766,1725.3,17
2994786,101.48823529411766,1725.3,17
2994848,2494.95,2494.95,1
2994963,114.4875,457.95,4
2995314,77.63333333333333,232.89999999999998,3
2995317,88.5,531.0,6
2995341,77.63333333333333,232.89999999999998,3
2995365,77.63333333333333,232.89999999999998,3
2995428,39.0,39.0,1
2995612,100.0,100.0,1
2995662,54.0,54.0,1
2995671,160.5,160.5,1
2995691,160.5,160.5,1
2995705,194.33333333333334,583.0,3
2995788,43.475,86.95,2
2995863,226.0,226.0,1
2995875,336.1666666666667,1008.5,3
2995926,336.1666666666667,1008.5,3
2995940,336.1666666666667,1008.5,3
2996018,112.63333333333334,1351.6000000000001,12
2996120,127.52999999999997,4718.61,37
2996301,76.975,153.95,2
2996330,121.64,486.56,4
2996344,87.49166666666667,524.95,6
2996354,87.49166666666667,524.95,6
2996395,87.49166666666667,524.95,6
2996464,323.0,323.0,1
2996682,81.225,162.45,2
